D2C2_Parent1	D2C2_Parent2	D2C2_R1_T1	D2C2_R2_T1	D2C2_R3_T1	D2C2_R1_T2	D2C2_R2_T2	D2C2_R3_T2	D2C2_R1_T3	D2C2_R2_T3	D2C2_R3_T3	D2C2_R1_T4	D2C2_R2_T4	D2C2_R3_T4	D2C2_R1_T6	D2C2_R2_T6	D2C2_R3_T6	D2C2_R1_T7	D2C2_R2_T7	D2C2_R3_T7	D2C2_R1_T8	D2C2_R2_T8	D2C2_R3_T8	D2C2_R1_T9_RESEQ	D2C2_R2_T9_RESEQ	D2C2_R3_T9_RESEQ	D2C2_R1_T10_RESEQ	D2C2_R3_T10_RESEQ	D2C2_R1_T12	D2C2_R2_T12	D2C2_R3_T12
RG13	0.00980647853528767	0.0281641286676143	0.0258161617033107	0.0259002538574846	0.0307773202247089	0.0177752293577982	0.0157297118711854	0.0408679011924877	0.0105582094833687	0.0109394256901874	0.0270279945586024	0.00380306300750334	0.00274231120809129	0.00730297260864127	0.00347981008047884	0.00188866895812209	0.00545653165922259	0.00212203748119842	0.000457764306868545	0.0024006380000651	0.000392027196391766	0.000138016254961168	0.00132623737423329	0.000194609895618329	9.46685810757506e-05	0.000517809030921783	0.000100274082492145	9.85051838352993e-05	1.01997450063748e-05	0	0
RG14	0.00316182695818604	0.00440071160442965	0.00385373078526955	0.0045809262141805	0.00404570069765299	0.00471912771224698	0.00380114416873881	0.00386621155091567	0.00685155697098372	0.00876358395657951	0.00750976508118343	0.00155720012334258	0.00935727695377387	0.0017649429520408	0.00448908664858745	0.0392409040990272	0.0172656498472005	0.00828082442375706	0.0395411259614784	0.0105709449562189	0.00397175028263577	0.0236820415054865	0.00956645260959788	0.00199327711269682	0.0327711071490557	0.00473227611681993	0.00189852262851795	0.00494988548772379	0.00173735656608585	0.015219818669615	0.000906229309305311
RG15	0.00775209350661857	0.00859075084481746	0.010465946728403	0.0115202198008838	0.0105921828895229	0.013775120139799	0.0159035976977517	0.0182841616797082	0.0157289455060156	0.0176034428078796	0.0190687573088948	0.0116044814472197	0.0204739578725956	0.0124310352015787	0.00701227806885899	0.0235775860672599	0.014226253854557	0.00306516525061994	0.0158552909924469	0.00778783242732984	0.00114242268847499	0.00621202134479427	0.0055838128342596	4.12808869493424e-05	0.00162514397513372	0.00271642063815117	0	0.00155145664540596	0.000122396940076498	0.000388283064935407	0.00063990885922375
RG16	0.0074471457289255	0.0240655935853457	0.031884349730862	0.0367884416493424	0.030894770222631	0.0375345856997233	0.042636804674051	0.0405027048873004	0.0335146850672328	0.0310157808742709	0.0320954949364773	0.0205416795148525	0.0227936189661782	0.0154675709104048	0.0183117874726837	0.00609363003469579	0.0125447681734585	0.0170088214968088	0.00280900824669335	0.00607890368152078	0.00907008377106404	0.000688791403264149	0.00347204493234618	0.00209353069528808	5.52233389608545e-05	0.000617494191954854	0.000508055351293536	0.000664909990888271	0.000125796855078623	0	0.000303309401481777
RG17	0.00397234605152815	0.00177688307045395	0.00177348307282305	0.00172372366098012	0.00271580533656652	0.00245740498034076	0.0018258011789459	0.00339389099620683	0.00374203821656051	0.00330390728184376	0.00417651130044629	0.00188611368074828	0.00345983349551303	0.00138277026557527	0.0107334368938855	0.00977054129965045	0.00982065074602099	0.0236188462945648	0.0123041497028	0.0165521955665506	0.0260896079134055	0.00985848819316084	0.0200153178452898	0.00976587839830158	0.00389718992095174	0.010685695456295	0.00583996256434254	0.00566404807052971	0.01518402039949	0.00163210508650815	0.00487144489940855
RG18	0.0026963803501282	0.00172793898587857	0.00553614310570438	0.00508498479989135	0.00353614839897584	0.0108353356633173	0.0127597419534334	0.00933441756058607	0.00960279547062987	0.0141831159498834	0.0134324558681973	0.01433343611882	0.0146649760662086	0.0181844712814598	0.0071044294076863	0.00985800967335422	0.0186982313978733	0.00527257205577463	0.00704679599664306	0.0157221444614433	0.00214426996814284	0.00417918379508585	0.017292145349332	0.000123842660848027	0.000978242004449423	0.0100848154578456	4.67945718296678e-05	0.00957962912798286	0	0	0.00723133999874238
RG20	0.00289299141732505	0.00318349350107677	0.00289748788519333	0.00319150047532986	0.00282964148839865	0.00380897771952818	0.00318906605922551	0.00246385773899664	0.00502034677990092	0.0052750111401491	0.00501181356053555	0.00236406619385343	0.00859060930419996	0.00240421362758314	0.00336571794669264	0.0270633627378249	0.011084530608294	0.00538233261514696	0.0289223812066945	0.0070635721493441	0.00308869912308664	0.0171501320183523	0.00732507217061723	0.00201686619095359	0.0287319143564903	0.00517532127696691	0.00166722374490273	0.00332454995444135	0.00131236719082023	0.0133551824820721	0.000739779028004335
RG21	0.00554523458910293	0.00276853278402465	0.00861097929818002	0.00837834167337004	0.0071662567962893	0.0171290228629678	0.0188596567493784	0.0166188665280544	0.0160253007784855	0.0275312225259836	0.0237822486336842	0.0136550519066708	0.0301654232890042	0.0181983684700585	0.00937749576542657	0.0178111525416042	0.0362404413899913	0.00865888857270621	0.0127272348955118	0.0287425539533218	0.00335401045801844	0.00623265928946136	0.0288826482852523	0.000371527982544082	0.00164092207197968	0.0148060154456619	0.0002072331038171	0.0133474524096831	0	1.5355827426824e-05	0.0128277683455952
RG22	0.00190592361058169	0.00961006460619164	0.0157049115894722	0.0178405398911442	0.0144861020513997	0.0226490825688073	0.0248482846163209	0.0236403741557879	0.0254865534324133	0.0270655442213738	0.0290088542039569	0.01725768321513	0.0264696920551608	0.0208666286810178	0.0186057941251327	0.027487746328758	0.0247161801512784	0.0128094637993414	0.019045769494864	0.0121171185833794	0.00247689910447525	0.00762572055448998	0.00730412468987909	0.000536651530341452	0.00350273749980277	0.00312900644353805	0.000191189250618357	0.00120668850198242	0	0.00264778338631094	9.98701687805852e-05
RG23	0.0379178486736778	0.0223525506252075	0.016438270806072	0.0202015189661837	0.0220029019184102	0.00638925294888598	0.00741101392825471	0.0104251371920786	0.0020567940552017	0.00595345625634788	0.0075813624177625	0.000133621132696063	0.0028012856426739	0.000903317258918521	0	0.000690028281440831	0.00136620711589253	0	0.000325983673073055	0.000463852088148172	0	1.67683300420111e-05	0.000244823681126974	0	0	0	0	0	0	0	0
