D3C2_Parent	D3C2_R1_T1	D3C2_R2_T1	D3C2_R3_T1	D3C2_R1_T2	D3C2_R2_T2	D3C2_R3_T2	D3C2_R1_T3	D3C2_R2_T3	D3C2_R3_T3	D3C2_R1_T5	D3C2_R2_T5	D3C2_R3_T5	D3C2_R1_T6	D3C2_R2_T6	D3C2_R3_T6	D3C2_R1_T8	D3C2_R2_T8	D3C2_R3_T8	D3C2_R1_T9	D3C2_R2_T9	D3C2_R3_T9	D3C2_R1_T10	D3C2_R2_T10	D3C2_R3_T10	D3C2_R1_T13	D3C2_R3_T13	D3C2_R1_T15	D3C2_R3_T15	D3C2_R3_T17	D3C2_R1_T19	D3C2_R3_T19
RG10	0.0353423135675601	0.0221217625849778	0.0165111460134359	0.0372400060990376	0.0168258977337749	0.0207782523218765	0.0178663122283338	0.00710499156282252	0.00352871696441754	0.00318973096535959	0.000229292566290906	0	2.90200368844669e-06	6.64065742508508e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG11	0.00520761005415914	0.0260231745245369	1.31983581242493e-05	0.00181177293641753	0.103452222010299	7.34413486091338e-05	0.000355001827836792	0.0705782911882792	6.64402775727152e-05	0.000400914366098118	0.000785988460410654	1.78700986786849e-06	7.69030977438372e-05	0.000309205611355524	0	0	0	0	0	1.37347544225909e-05	0	0	0	0	0	0	0	0	0	0	0	0
RG12	0.0481877517011526	0.0322021302947733	0.0212889516544142	0.0375987730171401	0.00489657205278033	0.00202811108851377	0.0227327956182632	0.000643124236289969	0.000152566563315124	0.00880077369439072	5.51184053583909e-06	0	2.90200368844669e-06	2.07520544533909e-06	2.83480861498338e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG13	0.00440910984585474	0.000385324636005835	0.00438845407631291	0.00309436466863391	6.93565446569452e-06	0.020656791629946	0.000623366304832462	9.18748908985671e-06	0.0132782125104582	0.000128362933005099	3.30710432150345e-06	0.00854012015854352	4.35300553267003e-06	2.07520544533909e-06	0.0148643189726654	8.15605986185447e-06	0	0.00319821930646673	0	0	0.00121029076230036	0	0	0.000504284668695479	0	0	0	0	0	0	0	0
RG14	0.00349488496968014	0.00513307461536344	0.0164517534018768	0.0263873068264375	0.000627676729145354	0.0048838496825074	0.0230920236583361	3.98124527227124e-05	0.000590580245090802	0.00929839985932829	0	0	4.35300553267003e-06	0	0	9.06228873539386e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG15	0.00502245058556682	0.000598629345223351	0.00469861549223277	0.0162521413900424	4.16139267941671e-05	0.00262411587914944	0.0274027601392114	6.12499272657114e-06	0.000329740636842364	0.0151503428872868	0	0	4.6432059015147e-05	4.15041089067818e-06	2.83480861498338e-06	3.89678415621936e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG17	0.000532333472202935	0	0.000976678501194451	0.00993784363143875	0	0.000392628748333446	0.0316691213916072	3.06249636328557e-06	4.67542694030218e-05	0.0106593986284509	0	0	5.94910756131571e-05	4.15041089067818e-06	4.25221292247507e-06	2.44681795855634e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG18	9.25797342961626e-05	0.000405967027220433	0.000428946639038104	0.000385674436960168	0.00340540634265601	0.0021100264388855	0.000826224492167772	0.00523074378849175	0.00225158718440868	0.00272551433093019	0.0033192303706823	0.00137599759825874	0.00330538220114078	0.00607205113306217	0.00342161399828494	0.00451483224797322	0.00232662740286684	0.00292709867452135	0.00404268617860071	0.00278815514778596	0.00395995436728485	0.00297088910377118	0.000237376929722628	0.000210118611956449	0.000152129224023935	0.000392616219268047	0.000391764244983241	1.40182658003378e-05	2.60549237793268e-05	9.37139786894412e-06	0	7.30636311163392e-06
RG19	0.0173702726473175	0.042943054523436	0.0236118626842821	0.032378714358749	0.0106913113588681	0.00791754231351547	0.0160659458157329	0.00192631021250662	0.000585658743048378	0.00482152277123264	6.17326140013978e-05	0	2.90200368844669e-06	2.07520544533909e-05	0	9.06228873539386e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG20	0.0123362495949637	0.0143051771117166	0.0354243932054852	0.0269792722413066	0.0019593223865587	0.0081039703522925	0.0094688285150992	0.000162312307254135	0.000420788424627196	0.0011113064884825	0	0	0	4.15041089067818e-06	0	2.71868662061816e-06	0	0	0	0	0	0	0	0	0	6.48952428542226e-06	0	0	0	0	0	0
RG21	0.00606397259639865	0.00315828585583354	0	0.00840411505655064	0.000336379241586184	0	0.0179191398812857	5.20624381758547e-05	0	0.017137330754352	0	0	9.7217123562964e-05	0	0	0.000124153355674896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG22	0.00627227699856501	0.00688079707153277	0.0340583631396254	0.0164763707138565	0.00097445945243008	0.0104258468352428	0.00531023567472535	7.65624090821392e-05	0.0026551503518874	0.00156321434851416	0	1.78700986786849e-05	1.01570129095634e-05	0	1.41740430749169e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG23	0.0161435911678933	0.00674318113010211	0.0302572359998416	0.0177410241001677	0.00287829660326323	0.00786387363568572	0.00633086592975613	0.00035218708177784	0.000536443722624145	0.00181290662915421	0	0.000114368631543583	5.0785064547817e-05	0	0.000130401196289236	0	0	8.03320390949257e-05	0	0	2.92517404785585e-05	0	0	0	0	0	0	0	0	0	0	0
RG24	0.00266166736101467	0.0224795640326975	0.0269312497525308	0.0128438556680688	0.00277079395904496	0.00815481436286805	0.00353100032330524	0.000578811812660973	0.00238446773955411	0.000879198171267804	1.10236810716782e-06	2.50181381501589e-05	2.90200368844669e-06	0	0.000114809748906827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG25	0.000972087210109707	0.00626152533509482	0.000435545818100228	0.00426035715246697	0.00353371595027136	3.95453415587644e-05	0.00759661649448374	0.00207331003794433	2.46075102121167e-06	0.0173518551081414	0.000147717326360488	0	0.000497693632568607	2.282725989873e-05	0	0.000724076869957969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG26	0.00182844975234921	6.88079707153277e-05	0.00956880964008077	0.0250598692294584	0	0.00440930558380223	0.0111529740912059	3.06249636328557e-06	0.00102613317584527	0.00292421311763672	0	0	1.01570129095634e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG27	0.00730222654260982	0.00438306773456637	0.00662557577837317	0.00461912407056945	0.00146342309226154	0.0065504033624839	0.00862358606786874	0.000318499621781699	0.00237708548649048	0.00354141023386671	2.53544664648598e-05	5.89713256396602e-05	3.77260479498069e-05	0	7.51224282970596e-05	9.06228873539386e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG28	0.00295097903069018	0	0.00793881241173598	0.0152386248464029	0	0.0027794725781303	0.0134562597599089	3.06249636328557e-06	8.85870367636203e-05	0.0039405662036223	0	0	0	0	1.41740430749169e-06	1.81245774707877e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG29	8.10072675091422e-05	0.000529821374508023	0.000415748280913854	0.000233198496766613	0.0027222443777851	0.00167220301448489	0.000800867218750858	0.00524911876667146	0.00264530734780255	0.00331457710567962	0.00429151904120431	0.00317551653520231	0.00483038513941951	0.00532912758363078	0.00420543858032785	0.00602642200903691	0.00123867005456271	0.00169199357343687	0.00129213042871588	0.0010644434677508	0.00134923652957351	0.00138895957385448	6.90049214309965e-05	6.30355835869348e-05	5.07097413413117e-05	0.000107077150709467	5.80391474049246e-05	4.90639303011824e-05	3.2067598497633e-05	4.21712904102486e-05	2.19867200211073e-05	3.65318155581696e-06
RG31	0.00330972550108781	0.0135001238543473	0.00297622975701823	0.0179383459051241	0.00463995283754963	0.000434998757146408	0.0101830583830089	0.000318499621781699	2.46075102121167e-05	0.00091260770177598	0	0	0	0	1.41740430749169e-06	9.06228873539386e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
