D2C2_Parent1	D2C2_Parent2	D2C2_R1_T1	D2C2_R2_T1	D2C2_R3_T1	D2C2_R1_T2	D2C2_R2_T2	D2C2_R3_T2	D2C2_R1_T3	D2C2_R2_T3	D2C2_R3_T3	D2C2_R1_T4	D2C2_R2_T4	D2C2_R3_T4	D2C2_R1_T6	D2C2_R2_T6	D2C2_R3_T6	D2C2_R1_T7	D2C2_R2_T7	D2C2_R3_T7	D2C2_R1_T8	D2C2_R2_T8	D2C2_R3_T8	D2C2_R1_T9_RESEQ	D2C2_R2_T9_RESEQ	D2C2_R3_T9_RESEQ	D2C2_R1_T10_RESEQ	D2C2_R3_T10_RESEQ	D2C2_R1_T12	D2C2_R2_T12	D2C2_R3_T12
RG23	0.0166472595439884	0.0166011303435283	0.0144949587805553	0.0179404751964523	0.0196542073271117	0.00604705851950435	0.00701713947017469	0.00988941956820974	0.00198516886742914	0.00572542660798394	0.0073184123729549	0.000131546992633368	0.00273441622612183	0.000890496348964969	0	0.00068168943765422	0.0013549838169949	0	0.000322877595042798	0.000461150124591437	0	1.59882326607617e-05	0.00023632744621023	0	0	0	0	0	0	0	0
RG24	0.00366768194397713	0.0205175051522929	0.0216336044666198	0.0221107369163257	0.0233697353937136	0.00610735682382989	0.00769876681429771	0.00678540744778146	0.00191259280130808	0.00215427380125087	0.00275304389895523	0.000389581478183437	0.000364588830149577	0.00126039483238119	0	0.000291238210453211	2.74288222063745e-05	0	8.93065688416251e-05	4.8542118378046e-05	0	4.67348339314572e-05	0	0	5.99943005414486e-05	0	0	0	0	0	0
RG27	0.00103759109750362	0.00502269537621221	0.00827347479601605	0.00869770937125998	0.00797337473892847	0.010233483648392	0.012282463737096	0.0123329052999159	0.0102289561427102	0.0105127017218748	0.0139917600666567	0.00507467821581802	0.00222591075249216	0.00745276944364528	0.00311460170456026	0.00457660044997904	0.00658566021175051	0.00227987706387281	0.00212961818006952	0.00307433416394291	0.00115624090664704	0.00110810750979587	0.00218381725695871	0.000242136334286505	0.000464955829196226	0.000821210061182869	8.01836073158997e-05	0.000813183133625123	3.37585788988627e-06	1.5200439509851e-05	0
RG28	0.00607228610033101	0.0154505569533828	0.0156023153049774	0.0169779286926995	0.0165617000397055	0.0146051107119938	0.0162734412302221	0.0146378190619601	0.0103271472909916	0.0166319203150336	0.0138458525796828	0.00227171537278394	0.0113310370633329	0.00550052744783746	0.00455244433246744	0.00539590794312214	0.00691754896044764	0.00248127963135274	0.00273415495376668	0.00182841979223973	0.000693744543988222	0.000610012569210599	0.000974376796941645	0.000172954524490361	0.00056244656757608	0.000263766145479266	3.94345609750327e-05	0.000263088660878716	1.35034315595451e-05	1.08574567927507e-05	0
RG29	0.00244159806645163	0.00438102944709259	0.00520499831994573	0.00527661035189772	0.00487925340805279	0.00752005995374259	0.00658577144080215	0.00859608118469796	0.011445672545328	0.0102578951432322	0.0155698647284009	0.00534789120051809	0.00415439377512545	0.00596632553806529	0.00568186754472082	0.00233310610352078	0.00692303472488891	0.00208653059909208	0.000501490732726049	0.00299343063331284	0.000337236931105386	0.000250892266368876	0.000916242772740198	0.00016142422285767	9.74907383798539e-05	0.000377974167233175	5.65228707308802e-05	0	0	0	0
RG30	0.00164182496243357	0.00716263544524661	0.0130980834701679	0.0143268668763394	0.0123684151061556	0.00615473406294282	0.0109916525346988	0.00910879747244727	0.00390203084909728	0.00327001775924639	0.00373215992996441	0.00205415688496721	0.00132403312001689	0.00168509309111833	0.000169413481838006	0.0001312172156987	0.000230402106533545	3.62524621463874e-05	0	5.66324714410537e-05	0	6.14932025413911e-06	0	0	0	0	0	0	0	0	0
RG31	0.000905469990011644	0.00209094587247601	0.00411032145038345	0.00329121322608478	0.00532795749255119	0.0106426507134582	0.00395146286448129	0.00826812752316461	0.0306313690834497	0.00643193575785654	0.0110889690100177	0.0123401198089533	0.002494555153655	0.00297288781115997	0.0112290730910576	0.000332843669089385	0.00331888748697131	0.00412472458198897	6.18276245826635e-05	0.00101129413287596	0.00094040927073959	1.22986405082782e-06	0.000198413952165808	0.000686052947145097	0	0	5.12649292675425e-05	0	0	0	0
RG32	0.000745163046254719	0.000587930358700737	0.00197168633069808	0.00184159499754145	0.00152849916553953	0.00474203093303012	0.00530813178128653	0.00496087651389877	0.00362880330605327	0.00698015597251178	0.00663879065731323	0.00677972962033514	0.00681205445805789	0.00806241694409053	0.00450466104271826	0.00519748190962654	0.0117724504909759	0.00234835393681599	0.00395696797329047	0.0104122843920909	0.000842128793674591	0.00135162059185978	0.00689267321727592	0.000253666635919196	0.000944910233527815	0.00631135282121006	7.75546365842309e-05	0.00547702757647509	0	1.73719308684011e-05	0.00439958971353213
RG33	0.00285910076612626	0.0064735557775221	0.00662511966424274	0.00748003005928359	0.00751660043708297	0.00679648030183608	0.00793256170044619	0.0071872661598012	0.00570362496104373	0.00751679406995599	0.00714946686172194	0.00147231441755039	0.00721502105980216	0.00374008466565287	0.00178101352701493	0.00223709350666808	0.00320368643370454	0.00117619099408279	0.000996111729387357	0.00103556519206498	0.00030447677208372	0.000336982749926823	0.000710246121765505	4.61212065307628e-05	0.000164984326488984	4.62270564242012e-05	8.93850048767407e-05	0	6.75171577977253e-06	0	0
RG34	0.000650035848860499	0.00146666498084485	0.000898142219235459	0.00079555048382458	0.000552002866541202	0.000417781108541255	7.57363715692247e-05	0.000115476641384981	0.00108864099181598	1.93035286850436e-05	0.000345570363885593	0.000966364445883591	0	0.000719247051087091	0.000473488962060068	6.40083979018047e-06	0.00132755499478852	0.00251350404214953	0.000137394721294808	0.000355975534772337	0.00346872271994111	1.22986405082782e-06	5.30788916621908e-05	0.00859007471635458	0	2.71923861318831e-06	0.0064764693974662	0	0.0620989058844579	8.68596543420055e-06	7.32654406916258e-06
