D3C2_Parent	D3C2_R1_T1	D3C2_R2_T1	D3C2_R3_T1	D3C2_R1_T2	D3C2_R2_T2	D3C2_R3_T2	D3C2_R1_T3	D3C2_R2_T3	D3C2_R3_T3	D3C2_R1_T5	D3C2_R2_T5	D3C2_R3_T5	D3C2_R1_T6	D3C2_R2_T6	D3C2_R3_T6	D3C2_R1_T8	D3C2_R2_T8	D3C2_R3_T8	D3C2_R1_T9	D3C2_R2_T9	D3C2_R3_T9	D3C2_R1_T10	D3C2_R2_T10	D3C2_R3_T10	D3C2_R1_T13	D3C2_R3_T13	D3C2_R1_T15	D3C2_R3_T15	D3C2_R3_T17	D3C2_R1_T19	D3C2_R3_T19
RG13	0.00492311668174183	0.000398576512455516	0.00453974495508042	0.0032336676352048	7.06693803708729e-06	0.0210302008983775	0.000643408012283641	9.31700166463763e-06	0.0134630066716234	0.000131179120596739	3.3199539190396e-06	0.00862856544457244	4.3827611395179e-06	2.10428411202367e-06	0.0151465913308982	8.29347091894422e-06	0	0.00321543949387535	0	0	0.00121892388538433	0	0	0.000507714438834513	0	0	0	0	0	0	0	0
RG14	0.00390231296033079	0.00530960854092527	0.0170189235684443	0.0275752179210798	0.0006395578923564	0.00497213419298437	0.0238344500279174	4.03736738800964e-05	0.000598799407188587	0.00950239985911722	0	0	4.3827611395179e-06	0	0	9.2149676877158e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG15	0.00560795968471379	0.000619217081850534	0.00486059910980039	0.0169837847970756	4.24016282225237e-05	0.00267155157043521	0.0282837800111669	6.21133444309175e-06	0.000334329669013628	0.0154827301789247	0	0	4.67494521548576e-05	4.20856822404734e-06	2.8886414286065e-06	3.9624361057178e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG17	0.000594392040315286	0	0.00101034925316075	0.0103852282313244	0	0.000399726230667917	0.0326873080681184	3.10566722154588e-06	4.74049530690965e-05	0.0108932579322936	0	0	5.98977355734112e-05	4.20856822404734e-06	4.33296214290976e-06	2.48804127568327e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG18	0.000103372528750485	0.000419928825622776	0.000443734469293575	0.000403036835692192	0.00346986657620986	0.00214816902380528	0.000852788246789503	0.00530447961440036	0.00228292273990649	0.00278531009486227	0.00333212708340942	0.00139024804191688	0.00332797662527392	0.00615713531178126	0.00348659020432805	0.00459089690202001	0.00233112882789993	0.00294285906582313	0.00405841819552941	0.00279379584646509	0.00398820111139344	0.00298335200146506	0.000238918089988776	0.000211547682847714	0.00015323231787455	0.000394266517649129	0.000396301188903567	1.4069347815382e-05	2.61537316345479e-05	9.40285596078382e-06	0	7.31464684885014e-06
RG19	0.0193952707068097	0.0444199288256228	0.0244258758635755	0.0338363482988096	0.0108936849841701	0.00806066636375662	0.0165824783640424	0.00195346468235236	0.000593809412128682	0.00492730340652409	6.19724731554059e-05	0	2.9218407596786e-06	2.10428411202367e-05	0	9.2149676877158e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG20	0.0137743894560021	0.014797153024911	0.0366456404795063	0.0281938325991189	0.00199640999547716	0.00825046443011693	0.00977325865438303	0.000164600362741931	0.000426644577621868	0.00113568772900191	0	0	0	4.20856822404734e-06	0	2.76449030631474e-06	0	0	0	0	0	0	0	0	0	6.5168019446137e-06	0	0	0	0	0	0
RG21	0.00677090063315674	0.00326690391459075	0	0.00878245383822289	0.000342746494798734	0	0.0184952540480179	5.27963427662799e-05	0	0.0175133110867921	0	0	9.7881665449233e-05	0	0	0.000126245057321706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG22	0.00700348882284533	0.00711743772241993	0.0352325168619098	0.0172181085387571	0.000992904794210764	0.0106143130747862	0.00548096384701284	7.76416805386469e-05	0.00269210233481869	0.00159751011247262	0	1.80551693755439e-05	1.02264426588751e-05	0	1.44432071430325e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG23	0.0180255847008657	0.00697508896797153	0.0313003467955545	0.0185396944418408	0.00293277928539123	0.00800602752647108	0.00653440815187046	0.000357151730477776	0.000543909461529633	0.0018526804566471	0	0.000115553084003481	5.11322132943755e-05	0	0.000132877505715899	0	0	8.07645712747341e-05	0	0	2.94603960213735e-05	0	0	0	0	0	0	0	0	0	0	0
RG24	0.00297196020157643	0.0232526690391459	0.0278596979874935	0.0134220639235167	0.00282324174581637	0.00830222753912428	0.00364452470686767	0.000586971104872171	0.00241765260652392	0.000898487127374926	1.10665130634653e-06	2.52772371257615e-05	2.9218407596786e-06	0	0.000116989977858563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG25	0.00108541155188009	0.00647686832740214	0.000450561153436553	0.00445215109194864	0.00360060492989597	4.02601958946103e-05	0.00784085357342267	0.00210253670898656	2.49499752995245e-06	0.0177325419458715	0.000148291275050436	0	0.000501095690284879	2.31471252322604e-05	0	0.000736275918248493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG26	0.00204160744282207	7.11743772241993e-05	0.00989869200731821	0.0261880213703252	0	0.00448901184224905	0.0115115508096036	3.10566722154588e-06	0.00104041396999017	0.002988368185649	0	0	1.02264426588751e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG27	0.00815350820519447	0.00453380782918149	0.00685399087954998	0.00482706907863905	0.00149112392582542	0.00666881387711438	0.0089008410106086	0.000322989391040771	0.00241016761393406	0.0036191061490662	2.54529800459703e-05	5.95820589392949e-05	3.79839298758218e-05	0	7.65489978580724e-05	9.2149676877158e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG28	0.0032949993539217	0	0.00821250102400262	0.0159246414846752	0	0.00282971662573547	0.0138888888888889	3.10566722154588e-06	8.9819911078288e-05	0.00402701930489442	0	0	0	0	1.44432071430325e-06	1.84299353754316e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG29	9.0450962656674e-05	0.000548042704626334	0.000430081101007619	0.000243696691348767	0.00277377317955676	0.00170243114068638	0.00082661571747627	0.00532311361772963	0.00268212234469888	0.00338729647020347	0.00430819353560706	0.00320840359803415	0.00486340394448503	0.00540380159967678	0.00428529955933775	0.00612795351233101	0.00124106656222203	0.00170110378247409	0.00129715872348836	0.00106659693645835	0.00135886076648585	0.00139478626763713	6.94529331362722e-05	6.34643048543142e-05	5.10774392915166e-05	0.000107527232086126	5.87112872449729e-05	4.92427173538371e-05	3.21892081655974e-05	4.23128518235272e-05	2.20157632865131e-05	3.65732342442507e-06
RG31	0.00369556790282982	0.0139644128113879	0.00307883454848311	0.0187458993345206	0.0047277815468114	0.000442862154840713	0.0105104515633724	0.000322989391040771	2.49499752995245e-05	0.000932629638215173	0	0	0	0	1.44432071430325e-06	9.2149676877158e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG32	0.0108411939527071	0.00601423487544484	0.0156399333715628	0.00969162995594714	0.000226142017186793	0.00985512080934497	0.00403275055834729	2.4845337772367e-05	0.00111526389588874	0.000745744315721189	0	0	0	2.10428411202367e-06	0	4.33103481322643e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG33	0.00865744928285308	0.00340925266903915	0.006225935938396	0.00165901209110507	0.00238155811849842	0.00964519264503736	0.00568161990508096	0.000257770379388308	0.00339569163826528	0.00131179120596739	0	0.000151663422754569	1.4609203798393e-06	0	0	9.2149676877158e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG34	0.0146530559503812	0.00644128113879004	0.00557057426067011	0.0113037772987159	0.00393628448665762	0.0027808292450063	0.00792809533780011	0.00054970309821362	0.000354289649253247	0.00165681026287936	3.3199539190396e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG35	0.00304948959813929	0.00344483985765125	0.016807296360012	0.0113975067953885	0.000159006105834464	0.0116380723418206	0.00237079494695701	1.24226688861835e-05	0.000960574049031691	3.5939485094997e-06	0	1.62496524379895e-05	0	0	0	9.2149676877158e-07	0	0	0	0	0	0	0	0	0	0	2.93556436224864e-05	0	0	0	0	0
RG36	7.75293965628634e-05	0.000227758007117438	0.00021162720843232	0.000234323741681507	0.00101410560832203	0.000770695178553969	0.000506002233389168	0.00190066833958608	0.0012799337328656	0.00141421873848813	0.00665982756159345	0.00357492353635769	0.00529875821767714	0.0017423472447556	0.000908477729296746	0.00146057237850295	0.00483449693154551	0.00296305020864181	0.00350002590479699	0.0026080015414046	0.00501194987313617	0.00410343990494159	0.00015557457022525	0.000190392914562942	0.000123764564437136	0.000202020860283025	0.000220167327168648	0.000534635216984517	0.00049088542452536	0.000250742825620902	0.000132094579719079	7.68037919129264e-05
RG37	0.0134642718697506	0.0108398576512456	0.0102331995303241	2.81188490017809e-05	0.00644858095884215	0.00369531083746959	0	0.00244105443613506	0.000374249629492867	3.5939485094997e-06	0.00083994834151702	1.98606863130983e-05	1.4609203798393e-06	0.000462942504645207	0	0	4.24699584030352e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG38	1.29215660938106e-05	0.000241992882562278	0.000382294312006772	0.000187458993345206	0.000212008141112619	0.000851215570343189	0.000191931881630374	0.000913066163134488	0.00370507133197938	0.00142500058401663	0.000540045837497109	0.0102553362053089	0.00362892622352082	8.41713644809468e-05	0.00150642650501829	0.000794330214681102	7.31427061385606e-05	0.00245154125723516	0.00095943692565707	4.81688939045705e-05	0.00270667388446369	0.00129683181220001	0	2.46805629989e-05	3.1432270333241e-05	0	1.46778218112432e-05	0	4.02365102069967e-06	3.13428532026127e-06	0	0
RG39	0.0094198216823879	0.00441992882562278	0.009338903907594	0.00566126159902521	0.000374547715965626	0.00820157704938776	0.00275902079843663	1.55283361077294e-05	0.00104290896752012	0.000564249915991454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG40	0.0056208812508076	0.00581494661921708	0.0111616285737691	0.0149592276689474	0.000431083220262325	0.00101225635392163	0.00374267169179229	2.4845337772367e-05	1.74649827096671e-05	0.0012722577723629	0	0	2.04528853177502e-05	0	1.44432071430325e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG41	0	2.84697508896797e-05	2.73067365719123e-05	9.37294966726029e-06	0.000137805291723202	5.17631090073561e-05	0.00117558277498604	0.000192551367735844	6.7364933308716e-05	8.44577899732431e-05	9.29587097331089e-05	5.23599911890773e-05	6.8663257852447e-05	0.00817724805932398	0.00467237751077102	0.00607266370620471	0.000139207085876615	8.5812356979405e-05	0.000103619187970964	0.000116981599482528	0.000139936881101524	9.58250107536956e-05	0.00018613386080521	0.000130454404422757	0.000135551665812102	0.000280222483618389	0.000249522970791135	0.000316560325846095	0.000201182551034984	0.000119102842169928	1.10078816432566e-05	7.31464684885014e-06
