D2C1_Parent1	D2C1_Parent2	D2C1_R1_T1	D2C1_R1_T2	D2C1_R1_T3	D2C1_R1_T4	D2C1_R1_T7	D2C1_R1_T8	D2C1_R1_T12	D2C1_R1_T13	D2C1_R1_T15	D2C1_R1_T17	D2C1_R1_T18	D2C1_R2_T1	D2C1_R2_T2	D2C1_R2_T3	D2C1_R2_T4	D2C1_R2_T6	D2C1_R2_T7	D2C1_R2_T8	D2C1_R2_T9_RESEQ	D2C1_R2_T12	D2C1_R2_T13	D2C1_R2_T14	D2C1_R2_T15	D2C1_R2_T17	D2C1_R2_T18	D2C1_R3_T1	D2C1_R3_T2	D2C1_R3_T3	D2C1_R3_T4	D2C1_R3_T6	D2C1_R3_T7	D2C1_R3_T8	D2C1_R3_T12	D2C1_R3_T13	D2C1_R3_T15	D2C1_R3_T17	D2C1_R3_T18
RG17	0.00449314109489007	0.0166607095326819	0.00795383755804021	0.00827541395321672	0.00222688997527743	0.000116621275836758	0	0	0	0	0	0	0	0.00954339424458637	0.00931094923050425	0.00316646470305259	0.00152301116321534	1.8887881535207e-05	0	0	0	0	0	0	0	0	0	0.0082065960355434	0.00540220902210508	0.00239332836527015	0.000209424083769634	0	0	0	0	0	0	0	0
RG18	0.00639118390797661	0.0299935358758888	0.00514093416650076	0.00128493414712496	0.000260237559715226	0	0	0	0	0	0	0	0	0.00715581354422013	0.00290777195773092	0.000304467759908903	0.00010789724862016	0	0	0	0	0	0	0	0	0	0	0.00581852358168148	0.00139958220539686	0.000151515620023562	0	0	0	0	0	0	0	0	0
RG20	0.0144872870359753	0.0300908779801513	0.00384687016331537	0.000405192302076337	0.000144989497555626	0	0	0	0	0	0	0	0	0.00352802116258413	0.000283685069046919	5.48041967836026e-05	0	0	0	0	0	0	0	0	0	0	0	0.00259526657552973	0.000184233751028886	6.18431102136989e-06	0	0	0	0	0	0	0	0	0
RG21	0.0280753423417443	0.0189269553975436	0.000308263385374187	0	0	0	0	0	0	0	0	0	0	0.000728884183628929	1.35088128117581e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000768967874231032	0.000312008771903759	0	0	0	0	0	0	0	0	0	0
RG22	0.0169435777352638	0.0197056922316438	0.00164407138866233	0.0003321846800806	3.71767942450322e-05	0	0	0	0	0	0	0	0	0.0013247400751887	0.00130697763953759	0.000420165508674286	0	0	0	0	0	0	0	0	0	0	0	0.00247564935064935	0.000832023391743356	0.000219543041258631	2.12973644511492e-05	0	0	0	0	0	0	0	0
RG23	0.00866943879490878	0.0105038214380775	0.00313401108463757	0.00177408521449639	0.000646876219863561	0.000192082101378189	0	0	0	0	0	0	0	0.00678582860690278	0.00168522439826682	0.000200948721539876	0	0	0	0	0	0	0	0	0	0	0	0.00580143540669856	0.00166701829560008	0.00026283321840822	0.000156180672641761	0	0	0	0	0	0	0	0
RG24	0.00772796127871959	0.0129206433704704	0.00341979693149488	0.00109511432993605	4.46121530940387e-05	0	0	0	0	0	0	0	0	0.00465460451104481	0.00267136773352516	0.000474969705457889	0	0	0	0	0	0	0	0	0	0	0	0.00578221120984279	0.0011648327484407	2.47372440854795e-05	0	0	0	0	0	0	0	0	0
RG25	0.0134914935092367	0.0129814821856344	0.000645426463127204	0.000438045731974418	7.06359090655613e-05	0	0	0	0	0	0	0	0	0.000324256461918573	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112781954887218	0.000160461654121933	5.5658799192329e-05	4.61442896441565e-05	0	0	0	0	0	0	0	0
RG26	0.0095475476321237	0.013019506445112	0.000138076308032188	3.65038109978682e-06	0	0	0	0	0	0	0	0	0	0.000843898227813722	0.000178991769755794	0	0	0	0	0	0	0	0	0	0	0	0	0.00168745727956254	7.42878028342283e-05	0	0	0	0	0	0	0	0	0	0
RG27	0.0025075891536962	0.00396212783756036	0.00181746954293531	0.00320503460561283	0.00220086621930591	0.00085750938115263	0.000269652567066259	1.23992252964035e-05	0	0	0	0	0	0.00152705393604388	0.00187434777763143	0.00263973547841019	0.00165995767107939	0	2.3191094619666e-05	0	0	0	0	0	0	0	0	0.00172163362952837	0.00273973416852634	0.00263451649510357	0.00216168249179164	0.00154918187705073	0.000714846785890919	0.000216483974366435	0	0	0	0	0
RG28	0.00885350971954833	0.00891744933267425	0.0015477390807329	0.00128493414712496	0.000620852463892039	0.000322423527313389	0	0	0	0	0	0	0	0.000741355586010412	0.000344474726699831	5.17595191845136e-05	0	0	0	0	0	0	0	0	0	0	0	0.00148453520164046	0.00133123742678937	0.000732840856032332	0.000145531990416186	0	0	0	0	0	0	0	0
RG29	0.000881126393356548	0.00646716605194114	0.00278400369916062	0.00319043308121368	0.000643158540439058	0	0	0	0	0	0	0	0	0.00141065418048336	0.00161768033420803	0.000551086645435115	0	0	0	0	0	0	0	0	0	0	0	0.00288149350649351	0.00504859908061415	0.00185529330641097	0.000227171887478924	0	0	0	0	0	0	0	0
