D1C1_Parent	D1C1_R1_T1	D1C1_R1_T2	D1C1_R1_T3	D1C1_R1_T4	D1C1_R1_T5	D1C1_R1_T6	D1C1_R1_T8	D1C1_R1_T9	D1C1_R1_T10	D1C1_R1_T13	D1C1_R2_T1	D1C1_R2_T2	D1C1_R2_T3	D1C1_R2_T4	D1C1_R2_T5	D1C1_R2_T6	D1C1_R2_T8	D1C1_R2_T9	D1C1_R2_T10	D1C1_R2_T13	D1C1_R3_T1	D1C1_R3_T2	D1C1_R3_T3	D1C1_R3_T4	D1C1_R3_T5	D1C1_R3_T6	D1C1_R3_T8	D1C1_R3_T9	D1C1_R3_T10
RG23	0.00118047309461544	0.00339710301820622	0.00313867224652844	0.00399384533047899	0.00232298682376589	0.00219769828316861	0.00474929007151872	0.00207992115142116	0.00225107655715446	0.00023171147657675	0.00038917010844691	0.00313319307331283	0.00445033365564827	0.00342279560446624	0.00191746168440599	0.00200492589551916	0.00311321670062599	0.0017613074338139	0.00147577297742458	0.000222500155473711	0.000415439841890856	0.00325431144991198	0.00409953883207835	0.00450919446953806	0.00204719772284308	0.000860490196355937	0.00316269358368937	0.00187176657764893	0.0030164918919333	0.000235063005280523
RG24	0.0082911694344524	0.00446556944467937	0.00131253566673007	0.000608777093925609	6.95315783984349e-05	1.05069240629575e-05	0	0	0	0	0	0.00471921022819226	0.0013513352194726	0.000645456761092616	0.000242205686451283	4.10491293263622e-05	0.000132156969021737	1.59911180761314e-05	0	2.76397708662995e-06	0	0.00578050489684995	0.00217659663388485	0.00176654774846504	0.00117183039908337	0.000959559791331127	0.000583522801418703	0	0	0
RG25	0.00530690559349242	0.0016294817796873	0.000171200304356097	5.35188654000535e-05	1.58026314541898e-06	0	0	0	0	0	0	0.00100339860818903	7.40130597237642e-05	1.87477067537274e-05	0	0	0	0	3.00564761186269e-06	0	0	0.00236552891107047	0.000410678610166953	0.00172252759871997	0.00164657194537868	0.00305134352523586	0.00301203860586854	0.000259000259000259	0	0
RG26	0.00469403460631745	0.00108256228961924	0.000112019952233001	1.67246454375167e-05	0	0	0	0	0	0	0	0.000618223013432594	7.40130597237642e-05	5.35648764392213e-06	3.36396786737893e-06	0	1.67287302559161e-06	0	0	0	0	0.00161348214743535	0.00033337440119435	0.00165171257521704	0.00152638421213936	0.002380500839261	0.00339716365480489	0.000230706113059054	0	0
RG27	0.0103282690225056	0.00338864550031857	0.00119206137847949	0.000294353759700294	0.000118519735906423	4.202769625183e-05	1.31468237273875e-06	0	0	0	0	0.0032756109402816	0.000854731463906696	0.000160694629317664	5.0459518010684e-06	0	0	0	0	0	0	0.00422171705949715	0.00115714737805865	0.000413406623692793	4.40688355210839e-05	2.830559856434e-06	0	0	0	0
RG28	0.0023888039613752	0.000876762687686418	0.00156616574725762	0.00183302113995183	0.000595759205822954	5.60369283357733e-05	6.57341186369373e-06	0	0	0	0	0.000663537789286292	0.00147071112225286	0.00187209243155078	0.00141286650429915	0.000248455256449034	9.0335143381947e-05	0	0	0	0	0.00095031363768438	0.00243508258263699	0.0019024360368085	0.000576901119548735	0.000274564306074098	3.71332691811902e-05	0	0	0
RG29	0.00197790182224652	0.00101772131914726	0.00145837296303342	0.00092989028632593	0.000167507893414411	2.45161561469008e-05	0	0	0	0	0	0.000883638129147111	0.00175005073475868	0.00139268678741975	0.000901543388457553	0.000576848291059932	0.000771194464797733	1.37066726366841e-05	1.20225904474508e-05	0	0	0.000830669834378792	0.00122478856090968	0.000654560487513589	9.81533154787778e-05	0	1.06095054803401e-06	0	0	0
RG30	0.0114913310095308	0.00151671487451863	0.000452306976940799	5.68637944875569e-05	0	0	0	0	0	0	0	0.00180288072503641	0.000248301877782951	0.000136590434920014	0	0	0	0	0	0	0	0.00245782555933478	0.000512140384443494	2.48809542037329e-05	1.2018773323932e-05	0	0	0	0	0
RG31	0.00974673802899298	0.00143495886827134	0.000188108976391267	0.000107037730800107	7.42723678346918e-05	0	0	0	0	0	0	0.00102605599611588	0.00024352684167174	6.69560955490266e-05	0	0	0	0	0	0	0	0.00135710256892338	0.000468656766896405	2.87087933119995e-05	0	2.830559856434e-06	0	0	0	0
RG32	0.00102029090478562	0.000541281144809621	0.000862342273793672	0.001003478726251	0.000145384209378546	1.75115401049291e-06	0	0	0	0	0	0.00070885256513999	0.00119614654585825	0.00216134276432258	5.38234858780629e-05	0	0	0	0	0	0	0.00056403507272634	0.00164271444066781	0.00139716127451731	0.000108168959915388	0	0	0	0	0
RG34	0.00069296208208989	0.00033266237024758	0.00121531080252785	0.00133462670591383	0.000668451310512226	5.07834663042945e-05	8.54543542280185e-06	0	0	0	0	0.000233047418676161	0.000768780813904905	0.000658847980202422	0.00028425528479352	6.69748952166962e-05	2.84388414350574e-05	0	0	0	0	0.00038286017057788	0.00117164191724101	0.00191200563457917	0.000148231537661828	2.5475038707906e-05	0	0	0	0
RG35	0.00309221270801921	0.00075271909200088	0.000437511888910025	0.000428150923200428	0.000124840788488099	2.97696181783796e-05	0	0	0	0	0	0.000702379025732319	0.000627917248624193	0.000899889924178917	9.08271324192311e-05	2.80862463811952e-05	8.36436512795806e-06	0	0	0	0	0.00101184473652725	0.000896245672776115	0.00155410267795624	0.000330516266408129	0.000118883513970228	2.33409120567481e-05	0	0	0
RG36	0.00920699369369683	0.00108256228961924	4.64988480967176e-05	0	0	0	0	0	0	0	0	0.00122673571775368	7.16255416681589e-05	1.33912191098053e-05	1.34558714695157e-05	0	0	0	0	0	0	0.00102551831404789	6.76411828510275e-05	0	0	0	0	0	0	0
