D2C1_Parent1	D2C1_Parent2	D2C1_R1_T1	D2C1_R1_T2	D2C1_R1_T3	D2C1_R1_T4	D2C1_R1_T7	D2C1_R1_T8	D2C1_R1_T12	D2C1_R1_T13	D2C1_R1_T15	D2C1_R1_T17	D2C1_R1_T18	D2C1_R2_T1	D2C1_R2_T2	D2C1_R2_T3	D2C1_R2_T4	D2C1_R2_T6	D2C1_R2_T7	D2C1_R2_T8	D2C1_R2_T9_RESEQ	D2C1_R2_T12	D2C1_R2_T13	D2C1_R2_T14	D2C1_R2_T15	D2C1_R2_T17	D2C1_R2_T18	D2C1_R3_T1	D2C1_R3_T2	D2C1_R3_T3	D2C1_R3_T4	D2C1_R3_T6	D2C1_R3_T7	D2C1_R3_T8	D2C1_R3_T12	D2C1_R3_T13	D2C1_R3_T15	D2C1_R3_T17	D2C1_R3_T18
RG17	0.00533305635346452	0.0168721129572098	0.00798800348285982	0.0083093253575539	0.00223590892123927	0.000117399261075239	0	0	0	0	0	0	0	0.00958401986106163	0.009365382394304	0.00318211163704345	0.00153658066839166	1.89712282352584e-05	0	0	0	0	0	0	0	0	0	0.00824417521769172	0.0054666498277013	0.00240596081454518	0.000211021774585825	0	0	0	0	0	0	0	0
RG18	0.00758590554508922	0.0303741160777959	0.00516301718855816	0.00129019961440625	0.000261291526689063	0	0	0	0	0	0	0	0	0.00718627538297114	0.00292477121563139	0.00030597227279264	0.000108858575962352	0	0	0	0	0	0	0	0	0	0	0.00584516743700995	0.00141627726559258	0.000152315348724437	0	0	0	0	0	0	0	0	0
RG20	0.0171954355627825	0.0304726933307868	0.00386339449837144	0.000406852719315608	0.000145576707726764	0	0	0	0	0	0	0	0	0.00354303972212326	0.000285343533232331	5.50750091026751e-05	0	0	0	0	0	0	0	0	0	0	0	0.00260715067399673	0.000186431402264841	6.21695300916068e-06	0	0	0	0	0	0	0	0	0
RG21	0.0333235435276252	0.0191671146284023	0.000309587539101551	0	0	0	0	0	0	0	0	0	0	0.00073198699679373	1.35877872967777e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000772489088591624	0.000315730600609811	0	0	0	0	0	0	0	0	0	0
RG22	0.0201108874578262	0.0199557326523288	0.00165113354187494	0.000333545923042525	3.73273609555804e-05	0	0	0	0	0	0	0	0	0.0013303794086213	0.00131461842096324	0.000422241736453843	0	0	0	0	0	0	0	0	0	0	0	0.00248698570466026	0.00084194826829283	0.000220701831825204	2.14598414833042e-05	0	0	0	0	0	0	0	0
RG23	0.0102900409022858	0.0106371017055405	0.0031474733141991	0.0017813551494359	0.0006494960806271	0.000193363488829806	0	0	0	0	0	0	0	0.00681471544353402	0.00169507646527301	0.000201941700043142	0	0	0	0	0	0	0	0	0	0	0	0.00582800101281903	0.00168690349468671	0.000264220502889329	0.000157372170877564	0	0	0	0	0	0	0	0
RG24	0.00917257039706019	0.0130845900649532	0.00343448676190783	0.00109960194409624	4.47928331466965e-05	0	0	0	0	0	0	0	0	0.0046744188635554	0.00268698493793778	0.000477316745556518	0	0	0	0	0	0	0	0	0	0	0	0.00580868878560424	0.00117872757560996	2.48678120366427e-05	0	0	0	0	0	0	0	0	0
RG25	0.0160134956053323	0.0131462008480724	0.000648198909993873	0.000439840777638495	7.09219858156028e-05	0	0	0	0	0	0	0	0	0.000325636800855005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00113298399660105	0.000162375737456474	5.59525770824461e-05	4.64963232138259e-05	0	0	0	0	0	0	0	0
RG26	0.0113322970465828	0.013184707587522	0.000138669418555903	3.66533981365412e-06	0	0	0	0	0	0	0	0	0	0.000847490648379052	0.000180038181682304	0	0	0	0	0	0	0	0	0	0	0	0	0.00169518438885384	7.51739525261455e-05	0	0	0	0	0	0	0	0	0	0
RG27	0.00297633971103359	0.00401240225064191	0.00182527653261956	0.00321816835638832	0.00220977976857036	0.000863229860847346	0.00027190627417128	1.26309513885205e-05	0	0	0	0	0	0.00153355450659067	0.0018853054874279	0.00265277960511218	0.00167474732249772	0	2.33268795633208e-05	0	0	0	0	0	0	0	0	0.00172951723723569	0.00277241536916425	0.00264842198190245	0.00217817391055538	0.00156271975746589	0.000718844165451179	0.000221743235639145	0	0	0	0	0
RG28	0.0105085207126023	0.00903060053570576	0.0015543874359057	0.00129019961440625	0.000623366927958193	0.000324574427678602	0	0	0	0	0	0	0	0.000744511489134307	0.00034648857606783	5.20152863747487e-05	0	0	0	0	0	0	0	0	0	0	0	0.00149133310158661	0.00134711722926853	0.000736708931585541	0.000146642250135912	0	0	0	0	0	0	0	0
RG29	0.00104583778053166	0.0065492262455775	0.00279596246251088	0.0032035069971337	0.000645763344531542	0	0	0	0	0	0	0	0	0.00141665924474528	0.00162713752878912	0.000553809813754678	0	0	0	0	0	0	0	0	0	0	0	0.00289468827919472	0.00510882181367685	0.0018650859027482	0.000228904975821912	0	0	0	0	0	0	0	0
RG30	0.00233880846125744	0.00326383123574288	0.00206714179754265	0.00203059825676438	0.00183650615901456	0.000877041538620904	0.000158392004371619	1.51571416662246e-05	0	0	0	0	0	0.00143892500890631	0.00190908411519726	0.001704265559455	0.0017961665033788	3.41482108234651e-05	0	0	0	0	0	0	0	0	0	0.00230459244763168	0.00302499984965209	0.00253651682773756	0.00180620332484477	0.00185651107186948	0.000697947532734575	0.000269429952980897	0	0	0	0	0
RG31	0.00299782952844177	0.00322378422671536	0.00481473120706892	0.000439840777638495	8.2120194102277e-05	0	0	0	0	0	0	0	0	0.00526028678304239	0.000373664150661386	0.000232538927322406	0.000510797933361804	0	0	0	0	0	0	0	0	0	0	0.0036264071103329	0.000487127212369423	9.94712481465709e-05	4.29196829666085e-05	0	0	0	0	0	0	0	0
RG32	0.00978144855695876	0.00763665656763247	0.00120932632461543	0.000887012234904298	0.000675625233296006	0	0	0	0	0	0	0	0	0.000744511489134307	0.000441603087145274	2.44777818234112e-05	0	0	0	0	0	0	0	0	0	0	0	0.00146772926832409	0.000962226592334662	0.00055020034131072	8.5839365933217e-05	0	0	0	0	0	0	0	0
RG33	0.00348135042012593	0.0045222314809538	0.00247347544261344	0.000472828835961382	1.11982082866741e-05	0	0	0	0	0	0	0	0	0.00303788519771999	0.000764313035443743	0.000149926413668393	0	0	0	0	0	0	0	0	0	0	0	0.00336891074746903	0.0014042494331884	0.000575068153347363	0.00062591204326304	0	0	0	0	0	0	0	0
RG34	0.0165185063144247	0.00579295388278857	0.00107710664645748	3.66533981365412e-06	0	0	0	0	0	0	0	0	0	0.000601175632347702	3.39694682419441e-06	0	1.25606049187329e-05	0	0	0	0	0	0	0	0	0	0	0.00122525352662727	2.70626229094124e-05	0	3.57664024721737e-06	0	0	2.38433586708758e-06	0	0	0	0	0
RG35	0.0155872808934033	0.00657695109798117	0.000180592731142572	0	0	0	0	0	0	0	0	0	0	0.00129002271107944	1.69847341209721e-05	0	0	0	0	0	0	0	0	0	0	0	0	6.65198937398343e-05	0	0	0	0	0	0	0	0	0	0	0
RG36	0.0159060465182914	0.00540018514040327	0.00153181334451288	5.13147573911577e-05	0	0	0	0	0	0	0	0	0	0.000652665211970075	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000731718831138177	0	0	0	0	0	0	0	0	0	0	0
