D1C1_Parent	D1C1_R1_T1	D1C1_R1_T2	D1C1_R1_T3	D1C1_R1_T4	D1C1_R1_T5	D1C1_R1_T6	D1C1_R1_T8	D1C1_R1_T9	D1C1_R1_T10	D1C1_R1_T13	D1C1_R2_T1	D1C1_R2_T2	D1C1_R2_T3	D1C1_R2_T4	D1C1_R2_T5	D1C1_R2_T6	D1C1_R2_T8	D1C1_R2_T9	D1C1_R2_T10	D1C1_R2_T13	D1C1_R3_T1	D1C1_R3_T2	D1C1_R3_T3	D1C1_R3_T4	D1C1_R3_T5	D1C1_R3_T6	D1C1_R3_T8	D1C1_R3_T9	D1C1_R3_T10
RG10	0.00299795383018449	0.00162931215411636	0.00435952817473274	0.00395008052597045	0.004004254912497	0.00118839335820156	0.000257218394696743	0	0	0	0	0.00175265915224639	0.00465664617521842	0.00484820807468258	0.00700301393422777	0.00413513519286262	0.00225128662686083	0.000313018152784614	2.09463563813075e-05	9.608363119259e-06	0	0.00121941823030254	0.00507072515666965	0.00336675485709744	0.00661850449119876	0.00455419833998485	0.0022520597853613	1.29788660797335e-05	0	0
RG11	0.0192114452856844	0.0141087386362381	0.00500414395861064	0.00203468912998814	0.000772338682261746	0.000349220855260986	0.000156284594246122	3.95015621072288e-05	0	0	0	0.0150373075091284	0.00429517135796402	0.0014948199047351	5.00930896582816e-06	0	1.48982203248143e-05	0	0	0	0	0.0141673618020589	0.00478663085646076	0.00254162550482398	0.000312809963987258	0.00038585353900923	0.000305346375340518	1.08157217331113e-05	1.36718690660291e-05	0
RG12	0.016349460600453	0.0095991339791669	0.00351817900226871	0.00156081201990947	0.000220891996346666	4.34354297588291e-05	2.21403175182006e-05	0	0	0	0	0.00883949833306874	0.00390062041364059	0.00218780035790715	0.000392395868989873	0.000181552939769278	0.000337692994029124	6.12426820665549e-05	8.9770098777032e-06	0	0	0.00942034083409547	0.00501820352133691	0.00307720258439597	0.000588003539900099	0.0013969587981648	0.00241150686873024	0.00179540980769647	0.000346354016339403	8.67388044390251e-05
RG13	0.0195364447053283	0.00564183852688089	0.00207407221371106	0.00380427218440779	0.000598444983010116	0.000112932117372956	3.25592904679421e-05	0	0	0	0	0.0105794570566757	0.00280910822036261	0.00236303679434146	0.000495921587616988	0.000514755982169365	0.000898859292930463	0.000607890325697656	0.000206471227187174	5.49049321100514e-06	0	0.0102411031044914	0.00630975828111012	0.00554880564418757	3.365676827711e-05	1.12657967593936e-05	0	0	0	0
RG14	0.020912717757902	0.012954412398237	0.00384467271098609	0.00167016827608147	0.000214625556733994	5.38599329009481e-05	3.90711485615305e-06	0	0	0	0	0.0131068423559295	0.0021546734204968	0.00100362686321469	3.33953931055211e-06	0	0	0	0	0	0	0.0171589565264001	0.00278364667263503	0.00123769402841019	0.000144526122601708	7.88605773157549e-05	9.48345397815262e-05	1.7305154772978e-05	0	0
RG15	0.00177423152560697	0.00577715428205326	0.00450184594519929	0.00504032926174586	0.00296089271698722	0.00307870326130581	0.00306578279046143	0.00152978776887995	0.00138021053319999	0.000147000185587734	0.000152591050534886	0.0053405302428957	0.00645693251997562	0.00574032084198453	0.00220075640565384	0.00270407084409301	0.00258235818963448	0.00105473508003511	0.000906677997648023	0.000123536097247616	0.000202421847129418	0.00444216641038784	0.00505162638018502	0.00694546954780641	0.00212433602125524	0.000904080189941333	0.00271581110627096	0.00117242423586926	0.00191558076580696	9.50790740966237e-05
RG16	0.000467601205814173	0.00134211136762805	0.00110505562950499	0.00111344551738764	0.00335567841258552	0.0037580333827339	0.00221924123829494	0.00234136531762847	0.00190204728958261	0.000104737632231261	0.00010081908696055	0.00114621368471186	0.00132540766326613	0.00150809539234376	0.002691668684305	0.00329999166992394	0.001809306090558	0.00203915448806788	0.00149916064957643	7.41216583485695e-05	0.000180375903382649	0.00110551652747209	0.00136794986571173	0.00155563377882748	0.00287072435304762	0.000811137366676337	0.00195192409901977	0.00184516212766878	0.00240321076249533	6.33860493977491e-05
RG17	0.000693111007199732	0.00170939698881022	0.00144201388016844	0.00164697149446922	0.00365333429418741	0.0035391188167494	0.000836773765026113	0.00389629044421302	0.00228082174982901	3.12375394373935e-05	3.54229224455986e-05	0.00200031751071599	0.00139628507841405	0.00190901511812529	0.00228090534910709	0.00324659374646239	0.000653866336477961	0.00223422377168728	0.00135253615490728	2.33345961467719e-05	4.60960641977882e-05	0.00154102303829442	0.00138943598925694	0.00232588067418367	0.00306474572311567	0.000453448319565591	0.000747212802454443	0.00200523480931883	0.00365190813719265	3.5029132561914e-05
RG18	0.0184453752250953	0.00638745595334092	0.00130388192648031	0.000338010246349821	2.03659287411819e-05	3.47483438070633e-06	0	0	0	0	0	0.00740752500396888	0.00126634315064286	0.000544294991955055	0.000243786369670304	4.69901726461661e-05	0	0	0	0	0	0.00640194570908835	0.00202447030737093	0.000645341993406535	0.000259355096723613	8.44934756954517e-05	3.12641339939097e-05	0	0	0
RG19	0.00106785523597279	0.000416993449612831	0.000406024227507514	0.000222026338288608	1.56660990316784e-06	5.21225157105949e-06	0	0	0	0	0	0.000215907286870932	0.000420539329877666	0.000902733157388871	0.000439149419337602	5.55338404000145e-05	0	0	0	0	0	0.000465656961571576	0.00233005073112504	0.0036071021684248	0.00388042740136092	0.00397964270525578	0.00669677750149547	0.000746284799584676	0	0
