D2C3_Parent1	D2C3_Parent2	D2C3_R1_T1	D2C3_R2_T1	D2C3_R3_T1	D2C3_R1_T2	D2C3_R2_T2	D2C3_R3_T2	D2C3_R1_T3	D2C3_R2_T3	D2C3_R3_T3	D2C3_R1_T4	D2C3_R2_T4	D2C3_R3_T4	D2C3_R1_T6	D2C3_R2_T6	D2C3_R2_T7	D2C3_R3_T7	D2C3_R1_T7	D2C3_R1_T8	D2C3_R2_T8	D2C3_R3_T8	D2C3_R3_T9_RESEQ	D2C3_R2_T10_RESEQ	D2C3_R3_T10_RESEQ	D2C3_R1_T12	D2C3_R2_T12	D2C3_R3_T12
RG10	0.0323585137775995	0.0524960177362111	0.00629680789070425	0.0156201726789825	0.0106659302917598	0.00917291288882111	0.00496438727205881	0.0130823570928936	0.00642310030891277	0.00641784462549033	0.0132632097290447	0.00131909294738397	0.0019882505031992	0.00450981347099791	0.000184201639394591	4.31982547905065e-05	0	6.52574406031795e-05	4.0502479998006e-05	0	0	0	0	0	0	0	0	0
RG11	0.0170129807036817	0.0406330635019702	0.0260019856257959	0.0190418608668498	0.0215763600643177	0.0182596328845778	0.0026525198938992	0.0102339826198743	0.0158781977776236	0.00376405233309349	0.00641768212695709	0.00626317414712082	0.00410741461977777	0.00369161837042809	0.00144729859524321	0.000115195346108017	6.74529431405416e-06	8.03168499731441e-05	0.00017135664614541	0.000189051193908799	1.06003845819526e-06	4.23537590421624e-05	0	0	0	0	0	0
RG12	0.00756620033505668	0.0208583680325909	0.0285514643990245	0.0259848980635902	0.0250626350140515	0.0228179108831788	0.00833975518716155	0.0228878231991278	0.0162985150151192	0.00463833375886854	0.0196445653533963	0.00656861297208759	0.000589111260207171	0.00826961476647348	0.000855221897189171	1.79992728293777e-05	3.37264715702708e-06	0.000250990156166075	1.8693452306772e-05	2.16470832719999e-05	0	1.16837955978379e-05	0	0	2.43240942315411e-06	0	0	0
RG13	0.00150759832691063	0.00297466566062108	0.0010629572874625	0.00463755020413858	0.00279592347453897	0.00117354939018528	0.00658040957233569	0.00460970337834857	0.00165270370083206	0.0199769437287716	0.00801604824159546	0.000275230589530497	0.0313701746060318	0.00885403983830906	3.50860265513506e-05	0.0238418367897937	0.00798642846784012	0.0153806767698571	6.23115076892401e-06	1.4431388848e-06	0.0123844293070953	0.00922873804784222	0.00645802100344849	0.00297272367900909	0.000938910037337485	0	0.00118589628658221	4.16518529868098e-05
RG14	0.00224102454000229	0.000530968505183929	0.000105216584291973	0.00286358759023457	0.000693227939674787	1.9890667630259e-05	0.0144818862179054	0.000680585051075387	2.44844992715861e-05	0.0589211521946011	0.000383446416390518	0	0.0389058894761819	0	0	0.00935602201671053	0.00135243150996786	5.0198031233215e-06	0	4.32941665439999e-06	0.000290450537545502	2.92094889945948e-06	0	0	0	0	0	0
RG15	0.0186052051321029	0.0235986002303969	0.00388492003539594	0.00201979263905176	0.00335395758365478	0.00160119874423585	1.66171958897366e-05	0.000935804445228658	6.93727479361607e-05	3.86850188396042e-06	0.000758820276646499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG16	0.00689389297305599	0.00297000804215455	5.93529449852157e-05	0.0099527939911169	0.00274702357837934	0.000102768449423005	0.0169786199003384	0.0020827162905594	0.000114260996600735	0.0286965469752184	0.00157011216816749	0	0.0125267963802386	0.000185067939414601	0	0.000320387056362923	2.02358829421625e-05	0	0	0	1.06003845819526e-06	0	0	0	0	0	0	0
RG17	0.0130810012834959	0.00977478862174859	0.00817721710228131	0.00437843206952339	0.00825257659305794	0.00696836389313407	0.000207714948621707	0.00558016724747459	0.00358697914328737	0.000270795131877229	0.00319269595120947	0.000862612945235826	0	0.000301952953781717	5.70147931459447e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
RG18	0.00772604963790999	0.0122309060930965	0.00309444672263829	0.00335524764053006	0.0140601583781343	0.00145533384828062	0.000193174902218188	0.011601454435461	0.00118341746479333	0.000154740075358417	0.007753690167223	0.000305438824966771	0	0.000701310086202698	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG19	0.0156526944794006	0.0127789525326577	0.00108723803768372	0.00235531740310477	0.00518338899292102	0.00139234673411813	2.7002943320822e-05	0.00427571256624676	0.0019505984419697	0	0.00232489616674672	0.000201388236241827	0	0.00064286757901914	0	0	0	0	1.8693452306772e-05	0	0	0	0	0	0	0	0	0
RG20	0.0051935351927046	0.0107001021570984	0.0031888718623875	0.00324229871005677	0.0146901040992495	0.0014155525130201	8.72402784211171e-05	0.0111036190740262	0.000991622220499239	0.000177951086662179	0.00693836199763474	0.000590738826309359	0	0.000944820532800857	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG21	0.00700829492509806	0.00968008371292924	0.0062806207238901	0.00283701137129968	0.00946644460360881	0.0033383170506118	9.34717268797684e-05	0.00600238204767876	0.000452963236524344	2.70795131877229e-05	0.0017355995689255	0.000130902353557188	0	0.00021428919300638	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG22	0.0123507093704602	0.0134682800657035	0.00446765804070533	0.00447809289052923	0.000673092688314938	0.000911655599720205	2.49257938346049e-05	7.2469704512657e-05	0.000126503246236528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG23	0.0123507093704602	0.0109624813307126	0.00086331556342132	0.00145504798668531	0.00387172119005088	0.0014155525130201	7.68545309900318e-05	0.0044679148260412	0.00135072820981584	3.86850188396042e-06	0.00215940876598871	0.000278587060134527	0	0.000360395460965275	0	3.59985456587554e-06	0	0	3.115575384462e-06	0	0	0	0	0	0	7.90648838062468e-07	8.53777024177258e-07	0
RG24	0.00638927066404848	0.00841942164798962	0.00594608594306434	0.00401965311390235	0.00875308141257418	0.00293055836419149	6.43916340727293e-05	0.00544152955188516	0.000428478737252758	4.6422022607525e-05	0.00181632513027087	8.05552944967308e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG25	0.009448347518653	0.0127665322167469	0.00461334254203268	0.00439836423372456	0.00220049532718345	0.000924916044807044	0	0.000564003352511548	5.304974842177e-05	0	4.03627806726861e-05	3.0208235436274e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG26	0.00665411901877602	0.0135350392637237	0.00192897071201951	0.00109294700369742	0.00241047723422187	0.00234046855782714	4.15429897243415e-06	0.0015596740753811	0.00227705843225751	0	0.00209886459497968	0.00133587530040412	0	0.00148054351531681	0.00101749476998917	0	0	0	5.6080356920316e-05	2.02039443871999e-05	0	0	0	0	0	0	0	0
RG27	0.00572479905218766	0.00929505391969645	0.00357196814365571	0.00714568086611897	0.00431469671996755	0.00411405308819191	0.000508901624123183	0.00199449230245704	0.00163229995143908	0.00113733955388436	0.000573151485552143	9.06247063088221e-05	0	0.000136365850094969	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG28	0.00573263480232753	0.0125724647806417	0.00540921157706171	0.00272738446819325	0.004654119528605	0.000709433812145905	3.94658402381244e-05	0.00190941917107261	6.12112481789654e-05	3.86850188396042e-06	0.000678094715301127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG29	0.00502898443976737	0.00800644614395767	0.00505309390715041	0.00223572441789775	0.00744429007418402	0.00294713392055004	9.76260258522025e-05	0.00499725875465539	0.000559062733367884	0.000116055056518813	0.00185668791094356	6.37729414765786e-05	0	0.000613646325427361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG30	0.00964267412212173	0.0145084815232275	0.00118705889970431	0.000764066294378133	0.000894580453273273	0.000109398671966425	0	1.89051403076496e-05	0	0	2.01813903363431e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG31	0.0086224594539109	0.00695537691001171	0.00784538018259124	0.00284697745340026	0.00123975619087068	0.00285099569367046	0.000147477613521412	0.000623869630152438	0.00126095171248669	6.18960301433667e-05	0.000561042651350337	3.6921176644335e-05	0	9.74041786392636e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG32	0.00672150646997889	0.00648650998438145	0.0026088317182138	0.00101986240162646	0.00316986385693616	0.00238688011563108	0.000124628969173024	0.00330524869712075	0.00236275417970806	0.000177951086662179	0.00335818335196748	0.000708215297450425	0	0.000720790921930551	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG33	0.0135558477419719	0.00738543034842091	0.000385794142403902	0.000189355559911103	0.00125701497775055	1.65755563585492e-05	0	0.000617567916716555	0	0	6.86167271435664e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG34	0.0138003231463358	0.00689017025148035	0.00111421664904064	0.000362100982987898	0.000396952098237015	0.000149180007226943	0	0.000289878818050628	0	0	0.000104943229748984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG35	0.0122378745684461	0.00764625698254635	0.000337232641961453	0.000438507612425711	0.00165972000494752	4.64115578039377e-05	0	0.000860183883998059	0	0	0.000213922737565236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG36	0.00334429815969572	0.00584531117548975	0.00562773832905273	0.00334528155842948	0.00171724929454709	0.00400465441622548	0.00107180913488801	0.000576606779383314	0.00436640237009953	0.00139652918010971	0.000335011079583295	0.0009700200045648	0	0	0.000179815886075672	0	0	0	0	0	0	0	0	0	0	0	0	0
RG37	0.0114527324044313	0.00724104417595862	0.000458636393067576	0.000332202736686145	0.00150726738750867	2.65208901736787e-05	0	0.000765658182459811	0	0	0.000113015785883521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG38	0.00687822147277625	0.00544630852685738	0.00246044935575076	0.000401965311390235	0.000963615600792754	0.00137908628903129	0	0.000270973677742978	0.000326459990287815	0	1.21088342018058e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG39	0.00851746040203667	0.00626449683747706	0.000221224613126713	3.32202736686145e-06	0.000581045824955631	1.9890667630259e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG40	0.00986050797601007	0.00341713941494102	0.00101169792588436	0.000249152052514609	0.000488998961596323	0.000586774695092641	4.15429897243415e-06	0.000236314253845621	0.00031829849053062	0	1.61451122690744e-05	2.01388236241827e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG41	0.00815701589560273	0.00553635581721021	0.000291369002654695	0.000106304875739566	0.00116496811439124	4.64115578039377e-05	0	0.000362348522563285	0	0	7.2653005210835e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG42	0.00697225047445467	0.00189099309740943	0.00213670601946777	7.97286568046748e-05	0.00161657303774784	0.00235041389164227	0	0.00193462602481615	0.00143234320738779	0	0.00117455691757517	0.000251735295302284	0	0.000301952953781717	7.455780642162e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
RG43	0.00516689364222905	0.00733419654528913	0.000439751365117735	0.00126569242677421	0	3.31511127170984e-05	0.00013501471660411	0	0	3.09480150716833e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG44	0	3.1050789776838e-06	0	2.32541915680301e-05	2.01352513598486e-05	6.63022254341967e-06	0.000105934623797071	3.15085671794161e-06	4.08074987859769e-06	7.73700376792083e-06	4.03627806726861e-06	0.000845830592215673	0.000867302688638335	0.000798714264841962	0.000495590125037827	0.000475180802695571	0.000401345011686222	0.000431703068605649	0.000501607636898382	0.00715796886860798	0.00489843771532031	0.00629756582723464	0.00045570712725947	0.000432204506522598	0.000296753949624801	0.000339188351528799	0.000232227350576214	0.000184458206084443
RG45	0.00378623446758429	0.00509698714186795	0.00137860704033842	0.00160121719082722	0.00267798843085986	6.96173367059065e-05	8.3085979448683e-06	0.000513589645024482	0	0	0.0003471199137851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG46	0.00233818784173665	0.00175902724085787	0.00299192799948201	0	0.000555157644635825	0.00530749314600745	0	0.000220559970255913	0.00413379962701946	3.86850188396042e-06	0.000270430630506997	0.000698145885638334	0	0	2.63145199135129e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
RG47	1.56715002797363e-06	0	0	0	8.62939343993511e-06	3.31511127170983e-06	4.77744381829927e-05	1.5754283589708e-05	1.22422496357931e-05	7.73700376792083e-06	2.01813903363431e-05	0.000755205885906851	0.000760935377767596	0.00102274387571227	0.000214901912627022	0.000190792291991404	0.000172005005008381	0.000180712912439574	0.000214974701527878	0.00524725298513278	0.00341968406613792	0.00492910126783787	1.48802327268398e-05	1.05415733298195e-05	7.29722826946232e-06	6.87864489114347e-05	3.84199660879766e-05	6.8428044192616e-05
RG48	0.00392884512012989	0.00575215880615923	2.42807502212246e-05	0.0012756585088748	0.000322164021757577	6.63022254341967e-06	0.000139169015576544	0.000122883411999723	0	1.93425094198021e-05	2.01813903363431e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG49	0.00389906926959839	0.00593380592635374	5.39572227138325e-06	0.000382033147189067	0.000707610262074679	0	4.15429897243415e-06	0.000267822821025037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG50	0.00611972085923702	0.00298242835806529	0	0.00179389477810518	0.000284769983517859	0	1.24628969173024e-05	3.15085671794161e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG51	0.00420936497513716	0.00422135487016112	0.000407377031489435	0.00029898246301753	0.00137782648590964	0.000281784458095336	1.66171958897366e-05	0.000434818227075942	0.000126503246236528	5.41590263754458e-05	0.000294648298910609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG52	0.00460271963215855	0.00403039251303357	0.000137590917920273	0.000823862786981639	0.000279017054557902	2.32057789019688e-05	3.11572422932561e-05	9.45257015382482e-06	0	7.73700376792083e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG53	0.00481115058587904	0.00268123569722996	0.000134893056784581	0.000903591443786314	0.00037106391791721	1.9890667630259e-05	1.24628969173024e-05	7.56205612305986e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG54	0	1.5525394888419e-06	0	3.32202736686145e-06	0	9.94533381512951e-06	6.64687835589464e-05	0	4.08074987859769e-06	7.73700376792083e-06	8.07255613453722e-06	0.000174536471409583	0.000147277815051793	0.000126625432231043	0.000131572599567565	7.91968004492619e-05	7.08255902975687e-05	8.03168499731441e-05	0.000118391864609556	0.00278092863100959	0.00207025510885535	0.00297206550520002	0.000632409890890694	0.000458558439847147	0.000413509601936198	0.000214265835114929	0.000238203789745455	0.000130905823672831
RG55	0.00545368209734823	0.00227602289064222	5.66550838495241e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG56	0.00756306603500073	3.1050789776838e-06	0	0	2.87646447997837e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG57	0.00415608187418606	0.00230396860144138	0	0.00151152245192196	0.000209981907038421	0	2.07714948621707e-05	6.30171343588322e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG58	0	0	2.69786113569162e-06	0	0	3.31511127170983e-06	7.68545309900318e-05	3.15085671794161e-06	1.63229995143908e-05	1.54740075358417e-05	1.61451122690744e-05	0.000107407059328974	8.18210083621071e-05	0.000116885014367116	7.89435597405388e-05	2.87988365270043e-05	5.73350016694603e-05	0.000140554487453002	0.000102813987687246	0.00400759668308959	0.00311969318246866	0.00425728302096219	0.000660310327253518	0.000310976413229675	0.000296753949624801	0.000134410302470619	0.000179293175077224	0.000119005294248028
RG59	1.56715002797363e-06	0	0	0	5.75292895995674e-06	0	3.32343917794732e-05	0	0	3.86850188396042e-06	0	0.000419558825503806	0.000261827226758743	0.000389616714557054	0.000324545745599993	0.000244790110479537	0.000236085300991896	0.000316247596769255	0.00034271329229082	0.00636424248196798	0.00436735844776449	0.00603029900293409	0.000656590269071808	0.00060086967979971	0.000498643931746592	0.000181058583916305	0.00013062788469912	6.3965345658315e-05
RG60	0.00658986586762911	0.000293429963391119	0	3.32202736686145e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG61	0.00652717986651016	0.000214250449460182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG62	0	0	2.69786113569162e-06	0	2.87646447997837e-06	0	6.23144845865122e-06	3.15085671794161e-06	0	0	0	0.000124189412349127	8.18210083621071e-05	0.000126625432231043	0.000232444925902698	0.000205191710254906	0.000178750299322435	0.000130514881206359	0.000246130455372498	0.00401769865528319	0.00242748806926715	0.00401046283895786	3.72005818170996e-06	1.05415733298195e-05	4.86481884630821e-06	0.00017631469088793	0.000110137236118866	8.47912721517199e-05
RG63	0.00491301533769732	0.00107746240525628	0.000752703256857963	0	0.000359558059997296	6.29871141624869e-05	0	1.89051403076496e-05	0	0	4.03627806726861e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG64	0.00462779403260612	0.00201830133549447	5.39572227138325e-06	0	0	1.32604450868393e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG65	0.00591128990551652	0.000616358177070234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG66	0.00619964551066367	9.1599829841672e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG67	0.0043143640270114	0.00139107538200234	5.39572227138325e-05	0	0.000601181076315479	0	0	8.50731313844234e-05	0	0	2.42176684036117e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG68	1.56715002797363e-06	0	2.69786113569162e-06	0	0	6.63022254341967e-06	3.11572422932561e-05	3.15085671794161e-06	1.63229995143908e-05	3.86850188396042e-06	8.07255613453722e-06	0.000862612945235826	0.000981852100345285	0.000944820532800857	0.000697334777708093	0.000485980366393198	0.000401345011686222	0.000346366415509184	0.000414371526133446	0.00816383667131357	0.00526521102185587	0.00788948297744005	3.72005818170996e-05	2.10831466596389e-05	1.21620471157705e-05	0.000253798277018052	0.000241618897842164	0.000141318786919533
RG69	0.00454316793109555	0.000864764495284938	0	0	0.000860062879513532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG70	0.00246669414403049	0.00144230918513412	9.17272786135152e-05	0.00168426787499875	6.61586830395025e-05	3.31511127170983e-06	0.000737388067607062	1.26034268717664e-05	0	0.00131529064054654	0	0	0	0	0	0	0	0	0	1.4431388848e-06	0	0	0	0	0	0	0	0
RG71	0.00269079659803072	0.00315476024132674	5.39572227138325e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG72	0.00183983413284104	0.00206643005964857	0.00018345455722703	0.00142847176775042	0.00095210974287284	0.000159125341042072	9.13945773935513e-05	0.000160693692615022	1.22422496357931e-05	0.000170214082894258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
