D2C3_Parent1	D2C3_Parent2	D2C3_R1_T1	D2C3_R2_T1	D2C3_R3_T1	D2C3_R1_T2	D2C3_R2_T2	D2C3_R3_T2	D2C3_R1_T3	D2C3_R2_T3	D2C3_R3_T3	D2C3_R1_T4	D2C3_R2_T4	D2C3_R3_T4	D2C3_R1_T6	D2C3_R2_T6	D2C3_R2_T7	D2C3_R3_T7	D2C3_R1_T7	D2C3_R1_T8	D2C3_R2_T8	D2C3_R3_T8	D2C3_R3_T9_RESEQ	D2C3_R2_T10_RESEQ	D2C3_R3_T10_RESEQ	D2C3_R1_T12	D2C3_R2_T12	D2C3_R3_T12
RG10	0.03767711327038	0.0532148786994122	0.00633824044579501	0.0157161336038478	0.0107072317128106	0.00923644909104262	0.0049970415005342	0.0131747623338876	0.00646133257800602	0.00646088419478456	0.0133531639602737	0.00132473100881806	0.00200452048240476	0.00453565830721003	0.000185734691260298	4.34634580976044e-05	0	6.5638001373349e-05	4.06926515331739e-05	0	0	0	0	0	0	0	0	0
RG11	0.019809315268464	0.0411894775772932	0.0261730768708536	0.0191588425812964	0.0216599096757799	0.0183861082737487	0.00266996736241932	0.0103062688006905	0.0159727096956934	0.00378929494968377	0.00646120836787438	0.00628994417927352	0.00414102585253988	0.00371277429467085	0.00145934400275949	0.000115902554926945	6.78552647203515e-06	8.07852324595064e-05	0.000172161218024967	0.000191940548246674	1.07730411110022e-06	4.29504278010714e-05	0	0	0	0	0	0
RG12	0.00880981707038912	0.021143994774986	0.0287393310359248	0.0261445336132066	0.0251596844427504	0.0229759591953908	0.0083946115584288	0.0230494878596723	0.0163955287906963	0.00466943951148082	0.0197777994505941	0.00659668850955964	0.000593931994786597	0.00831700626959248	0.000862339637994242	1.81097742073352e-05	3.39276323601757e-06	0.000252453851435958	1.87812237845418e-05	2.19779253717566e-05	0	1.18483938761576e-05	0	0	2.5560608035744e-06	0	0	0
RG13	0.00175539437069477	0.00301539962700954	0.00106995147199796	0.00466604051700798	0.00280675006063966	0.00118167798273548	0.00662369350363697	0.00464226331755239	0.00166254110171057	0.0201109137925663	0.00807041498025065	0.000276406978939137	0.0316268787223863	0.00890478056426332	3.5378036430533e-05	0.0239882069150362	0.00803406334288962	0.0154703720159955	6.2604079281806e-06	1.46519502478377e-06	0.0125861439299839	0.00935875011293	0.00651024820321275	0.00301412470139323	0.000986639470179717	0	0.0011975469685853	4.1837940736557e-05
RG14	0.00260937001049222	0.000538239390624877	0.000105908902050559	0.00288117974617542	0.000695912309273826	2.00284403853472e-05	0.0145771436576253	0.00068539226014444	2.46302385438603e-05	0.0593162912421722	0.000386047040847841	0	0.0392242588223648	0	0	0.00941346063297283	0.00136049805764305	5.04907702871915e-06	0	4.39558507435132e-06	0.00029518132644146	2.96209846903941e-06	0	0	0	0	0	0
RG15	0.0216632452899047	0.023921750694439	0.00391048253725142	0.0020322010274648	0.00336694503159038	0.00161228945102045	1.6726498746558e-05	0.000942414357698605	6.97856758742708e-05	3.89444496370377e-06	0.000763966775572569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG16	0.00802700606724146	0.00301067822884617	5.97434832080078e-05	0.0100139379577048	0.0027576608106079	0.000103480275324294	0.0170903000942956	0.00209742724053461	0.000114941113204681	0.0288889927407546	0.00158076104094537	0	0.0126293039446983	0.000186128526645768	0	0.000322353980890566	2.03565794161054e-05	0	0	0	1.07730411110022e-06	0	0	0	0	0	0	0
RG17	0.0152310569773277	0.00990864094553867	0.00823102261833962	0.00440533051677401	0.00828453284359587	0.00701663028166663	0.000209081234331975	0.00561958191072131	0.00360832994667553	0.000272611147459264	0.00321434957169097	0.00086629992179705	0	0.000303683385579937	5.74893091996162e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
RG18	0.00899593996624242	0.0123983915770257	0.00311480796543568	0.00337586025943987	0.0141146031856036	0.0014654142215279	0.000194445547928737	0.0116833995456103	0.00119046152961991	0.000155777798548151	0.00780627753124949	0.000306744330286115	0	0.000705329153605016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG19	0.018225445919438	0.0129539427609163	0.00109439198785578	0.00236978705340878	0.00520346050336695	0.0014019908269743	2.71805604631567e-05	0.00430591341211113	0.0019622090039942	0	0.00234066416345638	0.000202249008979856	0	0.000646551724137931	0	0	0	0	1.87812237845418e-05	0	0	0	0	0	0	0	0	0
